transaction_id,customer_id,transaction_date,transaction_amount
1,138,2025-10-13,34.52
2,236,2025-12-21,8.68
3,291,2025-09-06,55.47
4,135,2025-11-19,24.18
5,378,2025-09-29,69.08
6,54,2025-10-04,35.56
7,397,2025-12-28,5.8
8,211,2025-10-18,32.94
9,121,2025-10-10,16.06
10,254,2025-11-01,99.22
11,41,2025-10-19,25.16
12,371,2025-12-27,19.0
13,24,2025-11-03,67.12
14,320,2025-08-18,7.36
15,264,2025-12-25,29.18
16,112,2025-12-21,24.27
17,324,2025-04-12,28.24
18,290,2025-08-05,21.24
19,83,2025-02-10,27.48
20,282,2025-12-19,12.75
21,326,2025-11-11,99.99
22,356,2025-06-25,13.53
23,330,2025-07-31,57.8
24,58,2025-12-24,149.06
25,250,2025-08-02,22.26
26,214,2025-12-31,12.1
27,126,2025-09-25,18.03
28,143,2025-06-30,9.94
29,260,2025-12-18,26.69
30,98,2025-11-22,42.63
31,290,2025-10-29,34.23
32,51,2025-08-30,124.96
33,328,2025-10-08,23.61
34,133,2025-06-22,37.77
35,40,2025-10-16,22.6
36,117,2025-06-28,95.78
37,378,2025-10-03,50.02
38,196,2025-04-12,30.36
39,65,2025-12-31,29.8
40,112,2025-11-18,33.02
41,244,2025-12-07,13.64
42,55,2025-04-06,133.97
43,188,2025-11-20,10.72
44,24,2025-12-18,61.82
45,215,2025-12-09,13.07
46,295,2025-08-06,32.22
47,114,2025-11-09,26.61
48,246,2025-12-28,13.61
49,228,2025-10-27,89.15
50,267,2025-12-28,22.98
51,340,2025-09-19,7.48
52,68,2025-05-14,8.84
53,303,2025-09-12,143.16
54,233,2025-08-23,6.59
55,374,2025-11-21,22.71
56,19,2025-11-30,115.38
57,171,2025-06-30,16.22
58,204,2025-12-30,36.07
59,342,2025-08-18,36.18
60,310,2025-11-24,69.1
61,293,2025-09-01,5.51
62,140,2025-12-09,16.84
63,367,2025-10-30,51.19
64,86,2025-09-09,107.57
65,245,2025-09-19,132.85
66,142,2025-12-06,16.13
67,103,2025-12-10,9.74
68,332,2025-06-13,27.89
69,233,2025-08-26,14.91
70,214,2025-12-29,13.28
71,389,2025-09-07,22.49
72,12,2025-11-27,6.1
73,301,2025-12-08,13.99
74,21,2025-12-25,39.18
75,162,2025-11-19,9.8
76,385,2025-11-13,34.37
77,274,2025-12-26,49.69
78,77,2025-12-29,8.14
79,111,2025-09-19,25.26
80,344,2025-07-24,27.97
81,232,2025-12-15,22.84
82,125,2025-12-10,53.69
83,255,2025-12-09,19.81
84,176,2025-08-02,20.62
85,213,2025-11-15,32.26
86,355,2025-12-14,29.01
87,196,2025-07-04,11.77
88,274,2025-12-30,78.18
89,108,2025-08-31,14.55
90,54,2025-08-22,66.24
91,348,2025-05-22,10.39
92,195,2025-12-07,12.41
93,170,2025-05-14,14.05
94,161,2025-11-26,6.0
95,236,2025-12-28,12.71
96,5,2025-12-25,91.06
97,346,2025-09-24,33.9
98,207,2025-12-28,5.59
99,61,2025-12-13,12.39
100,29,2025-12-23,56.72
101,127,2025-11-26,107.79
102,358,2025-05-20,147.35
103,208,2025-10-14,10.68
104,75,2025-08-28,14.89
105,396,2025-12-30,38.46
106,367,2025-11-03,13.09
107,236,2025-12-18,31.21
108,135,2025-07-18,34.77
109,139,2025-09-10,30.97
110,295,2025-12-19,23.2
111,292,2025-03-22,6.41
112,231,2025-10-17,8.84
113,326,2025-11-18,101.14
114,9,2025-07-01,32.32
115,43,2025-12-31,8.07
116,295,2025-11-13,37.38
117,223,2025-12-22,14.16
118,211,2025-11-03,20.48
119,101,2025-09-14,12.48
120,270,2025-09-03,37.82
121,393,2025-12-16,70.47
122,55,2025-12-08,32.59
123,53,2025-11-13,13.29
124,367,2025-08-27,18.75
125,233,2025-12-07,32.01
126,355,2025-12-06,57.82
127,40,2025-11-28,9.15
128,41,2025-12-20,35.17
129,19,2025-12-20,5.03
130,157,2025-11-29,9.24
131,44,2025-12-28,145.42
132,49,2025-11-06,9.09
